,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,17946,22.0,4.5,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Urban,22,20002.52025705942
1,5721,20.0,4.1,Cloudy,Jam,2,Meal,scooter,1.0,No,Metropolitian,40,20002.52025705942
2,22960,33.0,4.2,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,31,20002.520257046745
3,2510,32.0,3.8,Sandstorms,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,34,20002.520257046745
4,20006,39.0,4.1,Fog,Jam,2,Meal,scooter,2.0,Yes,Metropolitian,47,20002.520257046745
5,30319,36.0,4.5,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,35,20002.520257046745
6,20647,23.0,4.3,Cloudy,Medium,2,Snack,scooter,1.0,No,Urban,35,20002.520257042732
7,40714,33.0,5.0,Stormy,High,2,Buffet,scooter,0.0,No,Metropolitian,32,20002.52025703843
8,17253,33.0,4.8,Fog,Medium,1,Buffet,motorcycle,2.0,No,Metropolitian,36,20002.52025703843
9,15184,31.0,4.7,Cloudy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.52025703843
10,3430,27.0,4.8,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Urban,15,20002.520257037824
11,18816,36.0,4.6,Stormy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,21,20002.520257032207
12,1300,20.0,4.8,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520257032207
13,18220,25.0,4.8,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,18,20002.520257032207
14,22059,34.0,4.9,Sunny,High,0,Buffet,motorcycle,0.0,No,Metropolitian,20,20002.52025703129
15,7646,35.0,4.8,Cloudy,Medium,1,Buffet,scooter,0.0,No,Urban,35,20002.52025703129
16,43053,32.0,4.8,Windy,High,0,Buffet,motorcycle,2.0,No,Metropolitian,49,20002.520257028576
